32'h3cbd2e88,32'h40ce5ce0,32'h40d6c928, 32'h40c80baa,32'h40dd1a5e, 32'h40bd8450,32'h40e7a1b8,// invsqrt(0.0231) = 6.5804
32'h3f4e0272,32'h3f8bd578,32'h3f918a96, 32'h3f878da0,32'h3f95d26e, 32'h3f806b3a,32'h3f9cf4d4,// invsqrt(0.8047) = 1.1147
32'h40500233,32'h3f0b290a,32'h3f10d720, 32'h3f06e67a,32'h3f1519b0, 32'h3eff99bf,32'h3f1c334a,// invsqrt(3.2501) = 0.5547
32'h405dda8d,32'h3f06bf84,32'h3f0c3f7e, 32'h3f029f87,32'h3f105f7b, 32'h3ef77f1b,32'h3f173f74,// invsqrt(3.4665) = 0.5371
32'h3fd83c51,32'h3f4105b3,32'h3f48e696, 32'h3f3b1d0a,32'h3f4ecf40, 32'h3f3143ee,32'h3f58a85c,// invsqrt(1.6893) = 0.7694
32'h3fa7ebef,32'h3f5b0981,32'h3f63fa37, 32'h3f5454f7,32'h3f6aaec1, 32'h3f492813,32'h3f75dba5,// invsqrt(1.3119) = 0.8731
32'h3eeb19e5,32'h3fb91daa,32'h3fc0abef, 32'h3fb372f5,32'h3fc656a3, 32'h3faa011e,32'h3fcfc87a,// invsqrt(0.4592) = 1.4757
32'h3f7e083d,32'h3f7bd98e,32'h3f831091, 32'h3f7423e0,32'h3f86eb68, 32'h3f674a69,32'h3f8d5824,// invsqrt(0.9923) = 1.0039
32'h4055a1b7,32'h3f095110,32'h3f0eebe1, 32'h3f051cf2,32'h3f131ffe, 32'h3efc36d8,32'h3f1a2184,// invsqrt(3.3380) = 0.5473
32'h3f96360b,32'h3f679711,32'h3f710af3, 32'h3f608028,32'h3f7821dc, 32'h3f54af4f,32'h3f81f95b,// invsqrt(1.1735) = 0.9231
32'h3d399097,32'h409355f6,32'h40995978, 32'h408ed354,32'h409ddc1a, 32'h40874ef2,32'h40a5607c,// invsqrt(0.0453) = 4.6982
32'h3f269d81,32'h3f9b7d17,32'h3fa1d5ca, 32'h3f96ba92,32'h3fa69850, 32'h3f8ecbb2,32'h3fae8730,// invsqrt(0.6508) = 1.2395
32'h3ec23238,32'h3fcbae5c,32'h3fd3fe9e, 32'h3fc5722a,32'h3fda3ad0, 32'h3fbb0dd7,32'h3fe49f23,// invsqrt(0.3793) = 1.6237
32'h3f195ac3,32'h3fa21268,32'h3fa8afe4, 32'h3f9d1c4a,32'h3fada602, 32'h3f94d76f,32'h3fb5eadd,// invsqrt(0.5990) = 1.2920
32'h405638c2,32'h3f09209e,32'h3f0eb976, 32'h3f04edfd,32'h3f12ec17, 32'h3efbdddf,32'h3f19eb25,// invsqrt(3.3472) = 0.5466
32'h4041433a,32'h3f105f29,32'h3f1643b2, 32'h3f0bf3c1,32'h3f1aaf19, 32'h3f049615,32'h3f220cc5,// invsqrt(3.0197) = 0.5755
32'h4020f41d,32'h3f1e3321,32'h3f24a827, 32'h3f195b5c,32'h3f297fec, 32'h3f114914,32'h3f319234,// invsqrt(2.5149) = 0.6306
32'h3dfa860b,32'h403353d2,32'h403aa59c, 32'h402dd67b,32'h404022f3, 32'h4024b03e,32'h40494930,// invsqrt(0.1223) = 2.8592
32'h3e820099,32'h3ff8f0c1,32'h40018cf7, 32'h3ff151df,32'h40055c67, 32'h3fe49e68,32'h400bb623,// invsqrt(0.2539) = 1.9845
32'h3f6f12f7,32'h3f81cdf4,32'h3f871a48, 32'h3f7ba96c,32'h3f8b1386, 32'h3f6e6a9c,32'h3f91b2ee,// invsqrt(0.9339) = 1.0348
32'h3f82de7e,32'h3f781d5b,32'h3f811ef3, 32'h3f7084f3,32'h3f84eb28, 32'h3f63dc44,32'h3f8b3f7f,// invsqrt(1.0224) = 0.9890
32'h3f184a26,32'h3fa2a337,32'h3fa9469d, 32'h3f9da8ab,32'h3fae4129, 32'h3f955c6c,32'h3fb68d68,// invsqrt(0.5949) = 1.2965
32'h3e59ca9a,32'h4007ffbd,32'h400d8cca, 32'h4003d5f4,32'h4011b694, 32'h3ff9cb47,32'h4018a6e4,// invsqrt(0.2127) = 2.1684
32'h3e06eca3,32'h402cc973,32'h4033d6e5, 32'h40277f5d,32'h403920fb, 32'h401eae8e,32'h4041f1ca,// invsqrt(0.1318) = 2.7549
32'h3fa9a393,32'h3f59ecf3,32'h3f62d20d, 32'h3f534120,32'h3f697de0, 32'h3f4822c0,32'h3f749c40,// invsqrt(1.3253) = 0.8686
32'h3ff83871,32'h3f34284f,32'h3f3b82c5, 32'h3f2ea476,32'h3f41069e, 32'h3f257363,32'h3f4a37b1,// invsqrt(1.9392) = 0.7181
32'h3d5a96f9,32'h4087c01b,32'h408d4a8f, 32'h40839844,32'h40917266, 32'h40795666,32'h40985f77,// invsqrt(0.0534) = 4.3288
32'h3eb3746d,32'h3fd3e1b9,32'h3fdc87ab, 32'h3fcd6543,32'h3fe30421, 32'h3fc295d3,32'h3fedd391,// invsqrt(0.3505) = 1.6891
32'h3fa8b1f8,32'h3f5a88ca,32'h3f637440, 32'h3f53d832,32'h3f6a24d8, 32'h3f48b1de,32'h3f754b2c,// invsqrt(1.3179) = 0.8711
32'h3f2fa554,32'h3f977054,32'h3f9d9eb6, 32'h3f92cd8b,32'h3fa2417f, 32'h3f8b1391,32'h3fa9fb79,// invsqrt(0.6861) = 1.2073
32'h3e55a3bd,32'h40095069,32'h400eeb34, 32'h40051c51,32'h40131f4d, 32'h3ffc35a8,32'h401a20ca,// invsqrt(0.2086) = 2.1893
32'h3e1254d8,32'h4025ea65,32'h402cb00b, 32'h4020d628,32'h4031c448, 32'h40185f19,32'h403a3b57,// invsqrt(0.1429) = 2.6453
32'h3fe9eadd,32'h3f39956b,32'h3f412893, 32'h3f33e70c,32'h3f46d6f2, 32'h3f2a6f19,32'h3f504ee5,// invsqrt(1.8275) = 0.7397
32'h3fb3a76e,32'h3f53c3a3,32'h3f5c685b, 32'h3f4d4819,32'h3f62e3e5, 32'h3f427a32,32'h3f6db1cc,// invsqrt(1.4035) = 0.8441
32'h3efd47ee,32'h3fb2593f,32'h3fb9a0cf, 32'h3face393,32'h3fbf167b, 32'h3fa3ca20,32'h3fc82fee,// invsqrt(0.4947) = 1.4218
32'h3f7d85eb,32'h3f7c1a41,32'h3f83323c, 32'h3f746297,32'h3f870e10, 32'h3f6785d3,32'h3f8d7c73,// invsqrt(0.9903) = 1.0049
32'h3f92a333,32'h3f6a6524,32'h3f73f655, 32'h3f633840,32'h3f7b233a, 32'h3f5742c4,32'h3f838c5b,// invsqrt(1.1456) = 0.9343
32'h3fa3542a,32'h3f5e1870,32'h3f67291c, 32'h3f574bef,32'h3f6df59d, 32'h3f4bf719,32'h3f794a73,// invsqrt(1.2760) = 0.8853
32'h3ed7285e,32'h3fc18153,32'h3fc96742, 32'h3fbb94e1,32'h3fcf53b5, 32'h3fb1b577,32'h3fd9331f,// invsqrt(0.4202) = 1.5426
32'h3fb2ec1b,32'h3f543261,32'h3f5cdb9e, 32'h3f4db372,32'h3f635a8c, 32'h3f42dfe6,32'h3f6e2e19,// invsqrt(1.3978) = 0.8458
32'h3ed19371,32'h3fc410ab,32'h3fcc1159, 32'h3fbe1028,32'h3fd211dc, 32'h3fb40f4f,32'h3fdc12b5,// invsqrt(0.4093) = 1.5630
32'h3daf3735,32'h40566df5,32'h405f2e87, 32'h404fdd88,32'h4065bef4, 32'h4044ecd1,32'h4070afab,// invsqrt(0.0856) = 3.4188
32'h3ccc2177,32'h40c6a9b6,32'h40cec589, 32'h40c094d7,32'h40d4da67, 32'h40b6720f,32'h40defd2f,// invsqrt(0.0249) = 6.3349
32'h3fab1701,32'h3f58ffe4,32'h3f61db51, 32'h3f525b53,32'h3f687fe3, 32'h3f47490c,32'h3f73922b,// invsqrt(1.3366) = 0.8650
32'h3e9a49b7,32'h3fe48289,32'h3fedd63b, 32'h3fdd83c4,32'h3ff4d500, 32'h3fd1db25,32'h40003ed0,// invsqrt(0.3013) = 1.8217
32'h3f95f7bc,32'h3f67c729,32'h3f713d01, 32'h3f60aec7,32'h3f785563, 32'h3f54db79,32'h3f821458,// invsqrt(1.1716) = 0.9239
32'h3f82c01e,32'h3f783a2c,32'h3f812df2, 32'h3f70a0e1,32'h3f84fa97, 32'h3f63f6ba,32'h3f8b4fab,// invsqrt(1.0215) = 0.9894
32'h3f2bce3e,32'h3f991f35,32'h3f9f5f2d, 32'h3f946f3b,32'h3fa40f27, 32'h3f8c9f46,32'h3fabdf1c,// invsqrt(0.6711) = 1.2207
32'h3d64e9aa,32'h4084a77a,32'h408a1194, 32'h408097e7,32'h408e2127, 32'h4073a68d,32'h4094e5c8,// invsqrt(0.0559) = 4.2300
32'h3f18f355,32'h3fa2492b,32'h3fa8e8e3, 32'h3f9d5160,32'h3fade0ae, 32'h3f9509ba,32'h3fb62855,// invsqrt(0.5975) = 1.2937
32'h3f06741a,32'h3fad16d5,32'h3fb4276f, 32'h3fa7ca60,32'h3fb973e4, 32'h3f9ef59f,32'h3fc248a5,// invsqrt(0.5252) = 1.3799
32'h3fe0c84f,32'h3f3d512d,32'h3f450b59, 32'h3f37858c,32'h3f4ad6fa, 32'h3f2ddcd6,32'h3f547fb0,// invsqrt(1.7561) = 0.7546
32'h3fa80f68,32'h3f5af262,32'h3f63e227, 32'h3f543e8d,32'h3f6a95fb, 32'h3f4912d7,32'h3f75c1b1,// invsqrt(1.3130) = 0.8727
32'h3ebe8d4b,32'h3fcd9e99,32'h3fd6031d, 32'h3fc75336,32'h3fdc4e80, 32'h3fbcd592,32'h3fe6cc24,// invsqrt(0.3722) = 1.6392
32'h3e2868be,32'h401aa885,32'h4020f88b, 32'h4015ec81,32'h4025b48f, 32'h400e087a,32'h402d9896,// invsqrt(0.1645) = 2.4659
32'h3f9639a4,32'h3f67944b,32'h3f710810, 32'h3f607d78,32'h3f781ee4, 32'h3f54acc3,32'h3f81f7cc,// invsqrt(1.1736) = 0.9231
32'h409d04bc,32'h3ee283a9,32'h3eebc281, 32'h3edb9487,32'h3ef2b1a3, 32'h3ed005f9,32'h3efe4031,// invsqrt(4.9068) = 0.4514
32'h3f6752a8,32'h3f83f61b,32'h3f8958f7, 32'h3f7fd7eb,32'h3f8d631d, 32'h3f7260c3,32'h3f941eb0,// invsqrt(0.9036) = 1.0520
32'h3cc685de,32'h40c97303,32'h40d1abf4, 32'h40c3484f,32'h40d7d6a9, 32'h40b90123,32'h40e21dd5,// invsqrt(0.0242) = 6.4238
32'h400cf678,32'h3f290bab,32'h3f2ff205, 32'h3f23dee7,32'h3f351ec9, 32'h3f1b3ef6,32'h3f3dbeba,// invsqrt(2.2025) = 0.6738
32'h40adcbe1,32'h3ed74da3,32'h3ee01757, 32'h3ed0b65d,32'h3ee6ae9d, 32'h3ec5ba3d,32'h3ef1aabd,// invsqrt(5.4311) = 0.4291
32'h4102eca1,32'h3eaf6815,32'h3eb690e7, 32'h3eaa0978,32'h3ebbef84, 32'h3ea11671,32'h3ec4e28b,// invsqrt(8.1828) = 0.3496
32'h3f92ed70,32'h3f6a29e6,32'h3f73b8ab, 32'h3f62fed1,32'h3f7ae3bf, 32'h3f570c5a,32'h3f836b1b,// invsqrt(1.1479) = 0.9334
32'h3f086231,32'h3fabdc2e,32'h3fb2dff2, 32'h3fa6995c,32'h3fb822c4, 32'h3f9dd4a8,32'h3fc0e778,// invsqrt(0.5327) = 1.3701
32'h3ed2099f,32'h3fc3d97a,32'h3fcbd7e8, 32'h3fbddaa8,32'h3fd1d6ba, 32'h3fb3dc9f,32'h3fdbd4c3,// invsqrt(0.4102) = 1.5613
32'h3e8fd399,32'h3fecacad,32'h3ff655af, 32'h3fe56dec,32'h3ffd9470, 32'h3fd95aa9,32'h4004d3d9,// invsqrt(0.2809) = 1.8868
32'h3f169b28,32'h3fa38b48,32'h3faa3826, 32'h3f9e89a1,32'h3faf39cd, 32'h3f96318b,32'h3fb791e3,// invsqrt(0.5883) = 1.3038
32'h3f6c912e,32'h3f827d90,32'h3f87d10e, 32'h3f7cfde3,32'h3f8bcfad, 32'h3f6fad28,32'h3f92780a,// invsqrt(0.9241) = 1.0403
32'h3fa6f39d,32'h3f5bac2a,32'h3f64a384, 32'h3f54f2a6,32'h3f6b5d08, 32'h3f49bd75,32'h3f769239,// invsqrt(1.3043) = 0.8756
32'h3ea8d32c,32'h3fda734c,32'h3fe35de1, 32'h3fd3c35b,32'h3fea0dd1, 32'h3fc89e21,32'h3ff5330b,// invsqrt(0.3297) = 1.7415
32'h3f21f90f,32'h3f9db37f,32'h3fa4234f, 32'h3f98dfa2,32'h3fa8f72c, 32'h3f90d3dd,32'h3fb102f1,// invsqrt(0.6327) = 1.2572
32'h3f294a40,32'h3f9a4161,32'h3fa08d31, 32'h3f958885,32'h3fa5460d, 32'h3f8da9c2,32'h3fad24d0,// invsqrt(0.6613) = 1.2297
32'h3fba9322,32'h3f4fccaf,32'h3f5847fb, 32'h3f497037,32'h3f5ea473, 32'h3f3ed619,32'h3f693e91,// invsqrt(1.4576) = 0.8283
32'h3fa7bf44,32'h3f5b26a9,32'h3f641890, 32'h3f54713b,32'h3f6acdfd, 32'h3f4942d9,32'h3f75fc5f,// invsqrt(1.3105) = 0.8735
32'h3f81d4a9,32'h3f791add,32'h3f81a2e1, 32'h3f717ab1,32'h3f8572f6, 32'h3f64c514,32'h3f8bcdc5,// invsqrt(1.0143) = 0.9929
32'h3fc8eede,32'h3f483cca,32'h3f506910, 32'h3f421b94,32'h3f568a46, 32'h3f37e43c,32'h3f60c19e,// invsqrt(1.5698) = 0.7981
32'h3fc8dec7,32'h3f4844cf,32'h3f507169, 32'h3f42235b,32'h3f5692dd, 32'h3f37eb99,32'h3f60ca9f,// invsqrt(1.5693) = 0.7983
32'h402c699a,32'h3f18da29,32'h3f1f174f, 32'h3f142c4c,32'h3f23c52c, 32'h3f0c5fdc,32'h3f2b919c,// invsqrt(2.6939) = 0.6093
32'h3ed3a355,32'h3fc31b8c,32'h3fcb1238, 32'h3fbd228a,32'h3fd10b3a, 32'h3fb32e32,32'h3fdaff92,// invsqrt(0.4134) = 1.5554
32'h3f3d1e34,32'h3f91f1f4,32'h3f97e6ee, 32'h3f8d7a38,32'h3f9c5eaa, 32'h3f8607ff,32'h3fa3d0e3,// invsqrt(0.7387) = 1.1635
32'h3fb0994a,32'h3f559692,32'h3f5e4e59, 32'h3f4f0cbc,32'h3f64d82e, 32'h3f442703,32'h3f6fbde7,// invsqrt(1.3797) = 0.8514
32'h3ead7522,32'h3fd78373,32'h3fe04f59, 32'h3fd0ea87,32'h3fe6e845, 32'h3fc5eba9,32'h3ff1e723,// invsqrt(0.3388) = 1.7181
32'h3f1a1494,32'h3fa1b090,32'h3fa84a0e, 32'h3f9cbd71,32'h3fad3d2d, 32'h3f947d94,32'h3fb57d0a,// invsqrt(0.6019) = 1.2890
32'h3edf293f,32'h3fbe00ea,32'h3fc5c242, 32'h3fb82fe8,32'h3fcb9344, 32'h3fae7e3a,32'h3fd544f2,// invsqrt(0.4359) = 1.5147
32'h401f3b6e,32'h3f1f0d74,32'h3f258b64, 32'h3f1a2f00,32'h3f2a69d8, 32'h3f121194,32'h3f328744,// invsqrt(2.4880) = 0.6340
32'h3f53e97c,32'h3f89df68,32'h3f8f8008, 32'h3f85a6ef,32'h3f93b881, 32'h3f7d3c4b,32'h3f9ac14a,// invsqrt(0.8278) = 1.0991
32'h41005e60,32'h3eb124e0,32'h3eb85fd9, 32'h3eabb8a4,32'h3ebdcc14, 32'h3ea2aeec,32'h3ec6d5cc,// invsqrt(8.0230) = 0.3530
32'h3f7e01e1,32'h3f7bdcb5,32'h3f831235, 32'h3f7426ef,32'h3f86ed18, 32'h3f674d4e,32'h3f8d59e9,// invsqrt(0.9922) = 1.0039
32'h3f8ee716,32'h3f6d7037,32'h3f772134, 32'h3f662b79,32'h3f7e65f1, 32'h3f5a0e3c,32'h3f854197,// invsqrt(1.1164) = 0.9464
32'h3f268312,32'h3f9b896e,32'h3fa1e2a2, 32'h3f96c688,32'h3fa6a588, 32'h3f8ed707,32'h3fae9509,// invsqrt(0.6504) = 1.2399
32'h3efcf836,32'h3fb27557,32'h3fb9be0c, 32'h3facfecf,32'h3fbf3493, 32'h3fa3e3ec,32'h3fc84f76,// invsqrt(0.4941) = 1.4227
32'h3fd13e54,32'h3f443887,32'h3f4c3ad6, 32'h3f3e36cd,32'h3f523c91, 32'h3f3433ea,32'h3f5c3f74,// invsqrt(1.6347) = 0.7821
32'h3d81295f,32'h4079bfd3,32'h4081f8ba, 32'h40721a9b,32'h4085cb56, 32'h40655c93,32'h408c2a5a,// invsqrt(0.0631) = 3.9820
32'h3f2c4a5a,32'h3f98e805,32'h3f9f25bc, 32'h3f9439bb,32'h3fa3d405, 32'h3f8c6c96,32'h3faba12a,// invsqrt(0.6730) = 1.2190
32'h4064aeeb,32'h3f04b883,32'h3f0a234f, 32'h3f00a86a,32'h3f0e3368, 32'h3ef3c5d7,32'h3f14f8e7,// invsqrt(3.5732) = 0.5290
32'h4147da63,32'h3e8df8a8,32'h3e93c41d, 32'h3e89a011,32'h3e981cb5, 32'h3e8261c0,32'h3e9f5b06,// invsqrt(12.4908) = 0.2829
32'h3fc2ac8e,32'h3f4b6e52,32'h3f53bbf8, 32'h3f453416,32'h3f59f634, 32'h3f3ad308,32'h3f645742,// invsqrt(1.5209) = 0.8109
32'h3ff1d203,32'h3f3686a4,32'h3f3df9da, 32'h3f30f03c,32'h3f439042, 32'h3f27a039,32'h3f4ce045,// invsqrt(1.8892) = 0.7275
32'h3f8901df,32'h3f727e33,32'h3f7c6401, 32'h3f6b11d9,32'h3f81e82e, 32'h3f5eb297,32'h3f8817ce,// invsqrt(1.0704) = 0.9666
32'h40239ca2,32'h3f1ce8c7,32'h3f235052, 32'h3f181b20,32'h3f281dfa, 32'h3f1019b2,32'h3f301f68,// invsqrt(2.5564) = 0.6254
32'h40350578,32'h3f152c5e,32'h3f1b4313, 32'h3f109b55,32'h3f1fd41b, 32'h3f08fef2,32'h3f27707e,// invsqrt(2.8285) = 0.5946
32'h3e4882a0,32'h400dbd0c,32'h40138612, 32'h40096648,32'h4017dcd6, 32'h40022b01,32'h401f181d,// invsqrt(0.1958) = 2.2599
32'h403588a9,32'h3f14f66d,32'h3f1b0aef, 32'h3f10670c,32'h3f1f9a50, 32'h3f08cd69,32'h3f2733f3,// invsqrt(2.8365) = 0.5938
32'h3e25dfb8,32'h401bd5f1,32'h40223244, 32'h401710b3,32'h4026f783, 32'h400f1d4c,32'h402eeaea,// invsqrt(0.1620) = 2.4846
32'h3e8918bd,32'h3ff269f9,32'h3ffc4ef4, 32'h3feafe3e,32'h4001dd58, 32'h3fdea005,32'h40080c75,// invsqrt(0.2678) = 1.9325
32'h3d5e5049,32'h40869bd1,32'h408c1a57, 32'h40827ced,32'h4090393b, 32'h40773d8a,32'h40971763,// invsqrt(0.0543) = 4.2924
32'h3f858319,32'h3f75a586,32'h3f7fac48, 32'h3f6e2075,32'h3f8398ac, 32'h3f619803,32'h3f89dce5,// invsqrt(1.0431) = 0.9791
32'h3e6fbf59,32'h40019f41,32'h4006e9ad, 32'h3ffb4ee2,32'h400ae17d, 32'h3fee14d6,32'h40117e83,// invsqrt(0.2341) = 2.0667
32'h3f8f8261,32'h3f6cef9c,32'h3f769b5a, 32'h3f65aece,32'h3f7ddc28, 32'h3f599822,32'h3f84f96a,// invsqrt(1.1212) = 0.9444
32'h3fcd2153,32'h3f462daa,32'h3f4e446c, 32'h3f401c97,32'h3f54557f, 32'h3f360024,32'h3f5e71f3,// invsqrt(1.6026) = 0.7899
32'h3ed38e96,32'h3fc3251c,32'h3fcb1c2d, 32'h3fbd2bd0,32'h3fd1157a, 32'h3fb336fb,32'h3fdb0a4f,// invsqrt(0.4132) = 1.5557
32'h406a3066,32'h3f0326be,32'h3f088124, 32'h3efe45e4,32'h3f0c84f0, 32'h3ef0e3e5,32'h3f1335f0,// invsqrt(3.6592) = 0.5228
32'h3f33d512,32'h3f95aa69,32'h3f9bc643, 32'h3f911585,32'h3fa05b27, 32'h3f8972b4,32'h3fa7fdf8,// invsqrt(0.7025) = 1.1931
32'h3f5aeac4,32'h3f87a61d,32'h3f8d2f82, 32'h3f837f12,32'h3f91568e, 32'h3f7926aa,32'h3f98424b,// invsqrt(0.8551) = 1.0814
32'h3f23cd51,32'h3f9cd174,32'h3fa3380c, 32'h3f980483,32'h3fa804fd, 32'h3f900446,32'h3fb0053a,// invsqrt(0.6399) = 1.2501
32'h401bd336,32'h3f20c831,32'h3f275833, 32'h3f1bdc30,32'h3f2c4434, 32'h3f13a82d,32'h3f347837,// invsqrt(2.4348) = 0.6409
32'h3d3e1d02,32'h40919006,32'h40978100, 32'h408d1b49,32'h409bf5bd, 32'h4085ae10,32'h40a362f6,// invsqrt(0.0464) = 4.6417
32'h3f67a4e6,32'h3f83deac,32'h3f894094, 32'h3f7faa7d,32'h3f8d4a02, 32'h3f7235ba,32'h3f940463,// invsqrt(0.9049) = 1.0513
32'h401d56b3,32'h3f2001ba,32'h3f2689a2, 32'h3f1b1bcc,32'h3f2b6f90, 32'h3f12f1e9,32'h3f339973,// invsqrt(2.4584) = 0.6378
32'h3e901f24,32'h3fec6e9e,32'h3ff61517, 32'h3fe531c2,32'h3ffd51f2, 32'h3fd921ab,32'h4004b105,// invsqrt(0.2815) = 1.8848
32'h40400503,32'h3f10d698,32'h3f16c001, 32'h3f0c6788,32'h3f1b2f10, 32'h3f0503c4,32'h3f2292d4,// invsqrt(3.0003) = 0.5773
32'h3f1e73c6,32'h3f9f718a,32'h3fa5f38f, 32'h3f9a9005,32'h3faad513, 32'h3f926d7e,32'h3fb2f79a,// invsqrt(0.6190) = 1.2711
32'h3f2911cf,32'h3f9a5b1e,32'h3fa0a7fa, 32'h3f95a178,32'h3fa561a0, 32'h3f8dc164,32'h3fad41b4,// invsqrt(0.6604) = 1.2305
32'h3e276233,32'h401b21a1,32'h40217697, 32'h401661e7,32'h40263651, 32'h400e77b3,32'h402e2085,// invsqrt(0.1635) = 2.4734
32'h3f26f0c8,32'h3f9b564a,32'h3fa1ad68, 32'h3f9694f5,32'h3fa66ebd, 32'h3f8ea810,32'h3fae5ba2,// invsqrt(0.6521) = 1.2383
32'h40c03e53,32'h3eccb682,32'h3ed5118c, 32'h3ec6723a,32'h3edb55d4, 32'h3ebc006d,32'h3ee5c7a1,// invsqrt(6.0076) = 0.4080
32'h3fa06431,32'h3f601eb5,32'h3f694489, 32'h3f594257,32'h3f7020e7, 32'h3f4dd30f,32'h3f7b902f,// invsqrt(1.2531) = 0.8933
32'h3f8d04f7,32'h3f6f04c0,32'h3f78c640, 32'h3f67b3a0,32'h3f800bb0, 32'h3f5b81c0,32'h3f8624a0,// invsqrt(1.1017) = 0.9527
32'h3f750fd7,32'h3f80357a,32'h3f857121, 32'h3f78917b,32'h3f895ddf, 32'h3f6b7c59,32'h3f8fe86f,// invsqrt(0.9573) = 1.0221
32'h3fb3e66b,32'h3f539e8d,32'h3f5c41c2, 32'h3f4d2426,32'h3f62bc2a, 32'h3f425824,32'h3f6d882c,// invsqrt(1.4055) = 0.8435
32'h3fb05f84,32'h3f55b98a,32'h3f5e72be, 32'h3f4f2ea2,32'h3f64fda6, 32'h3f444720,32'h3f6fe528,// invsqrt(1.3779) = 0.8519
32'h3fa55ddc,32'h3f5cb905,32'h3f65bb59, 32'h3f55f746,32'h3f6c7d18, 32'h3f4ab45e,32'h3f77c001,// invsqrt(1.2919) = 0.8798
32'h3f687c1e,32'h3f83a194,32'h3f8900fd, 32'h3f7f3409,32'h3f8d088c, 32'h3f71c582,32'h3f93bfcf,// invsqrt(0.9081) = 1.0494
